Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,822.799988,828.950012,820.650024,826.599976,826.599976,2474916
2021-01-04,831.000000,837.299988,826.549988,832.250000,832.250000,3487801
2021-01-05,832.250000,843.750000,825.299988,827.250000,827.250000,4559213
2021-01-06,829.000000,834.400024,815.250000,824.799988,824.799988,3318460
2021-01-07,830.000000,830.450012,818.000000,826.549988,826.549988,2879675
2021-01-08,830.700012,846.200012,827.400024,838.700012,838.700012,5072916
2021-01-11,839.000000,860.000000,832.750000,856.849976,856.849976,5332109
2021-01-12,860.000000,864.599976,841.000000,843.150024,843.150024,4338010
2021-01-13,847.349976,852.000000,832.500000,841.700012,841.700012,3596529
2021-01-14,841.700012,847.549988,829.000000,840.900024,840.900024,3652930
2021-01-15,839.000000,844.900024,821.000000,823.700012,823.700012,3137877
2021-01-18,822.000000,826.650024,796.200012,801.750000,801.750000,3742440
2021-01-19,802.500000,825.400024,802.500000,822.450012,822.450012,3791378
2021-01-20,822.500000,834.900024,822.299988,832.799988,832.799988,3056546
2021-01-21,835.000000,839.299988,809.000000,812.750000,812.750000,3326213
2021-01-22,815.799988,822.500000,798.250000,808.299988,808.299988,3883231
2021-01-25,813.000000,857.000000,808.250000,836.799988,836.799988,10704200
2021-01-27,839.900024,856.450012,825.200012,842.500000,842.500000,7410174
2021-01-28,835.500000,848.849976,825.700012,841.900024,841.900024,4489853
2021-01-29,847.950012,850.849976,820.750000,825.900024,825.900024,7185812
