Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,29.910000,30.370001,27.809999,28.110001,28.110001,524400
2021-01-05,28.799999,29.840000,28.670000,28.870001,28.870001,324400
2021-01-06,29.100000,29.510000,28.129999,28.780001,28.780001,327600
2021-01-07,28.990000,30.090000,28.950001,29.510000,29.510000,261400
2021-01-08,29.990000,30.000000,27.889999,28.719999,28.719999,294900
2021-01-11,28.000000,28.950001,27.900000,28.730000,28.730000,191900
2021-01-12,29.389999,31.790001,29.389999,30.400000,30.400000,475200
2021-01-13,30.500000,31.990000,30.090000,30.110001,30.110001,141000
2021-01-14,30.000000,31.549999,29.559999,31.459999,31.459999,255300
2021-01-15,31.000000,31.430000,30.000000,30.920000,30.920000,238700
2021-01-19,31.080000,31.990000,30.959999,31.150000,31.150000,421200
2021-01-20,31.270000,31.600000,29.920000,31.530001,31.530001,347500
2021-01-21,31.590000,32.290001,30.730000,31.590000,31.590000,324000
2021-01-22,30.600000,31.629999,30.110001,31.270000,31.270000,528300
2021-01-25,31.000000,33.330002,30.500000,31.040001,31.040001,415100
2021-01-26,31.080000,31.190001,29.280001,29.940001,29.940001,243900
2021-01-27,29.410000,30.459999,28.280001,29.469999,29.469999,372000
2021-01-28,29.469999,31.480000,28.590000,30.430000,30.430000,298700
2021-01-29,30.360001,30.920000,28.530001,28.530001,28.530001,332700
