Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,512.250000,516.400024,508.200012,515.150024,515.150024,10185843
2021-01-04,517.000000,520.500000,511.600006,517.099976,517.099976,13240524
2021-01-05,514.000000,516.900024,511.100006,514.000000,514.000000,10492428
2021-01-06,515.000000,531.750000,513.099976,525.299988,525.299988,30269288
2021-01-07,532.000000,554.450012,527.099976,545.250000,545.250000,38717913
2021-01-08,549.299988,549.750000,537.299988,540.250000,540.250000,14270435
2021-01-11,541.500000,554.349976,541.500000,547.150024,547.150024,19525604
2021-01-12,549.000000,569.000000,545.000000,565.750000,565.750000,25380555
2021-01-13,588.000000,601.700012,567.000000,578.250000,578.250000,83668562
2021-01-14,582.700012,584.799988,570.049988,580.549988,580.549988,16661518
2021-01-15,609.549988,610.650024,593.799988,602.650024,602.650024,56392307
2021-01-18,602.650024,603.000000,584.000000,586.950012,586.950012,20965905
2021-01-19,591.099976,597.450012,586.500000,592.299988,592.299988,10830923
2021-01-20,592.299988,602.500000,589.000000,596.150024,596.150024,13087294
2021-01-21,600.250000,604.049988,574.400024,581.349976,581.349976,17060331
2021-01-22,583.900024,585.549988,572.750000,576.849976,576.849976,12429589
2021-01-25,579.000000,587.849976,569.549988,580.750000,580.750000,12273498
2021-01-27,580.000000,581.750000,562.349976,570.799988,570.799988,15280757
2021-01-28,566.500000,575.849976,562.750000,570.900024,570.900024,14921448
2021-01-29,578.500000,578.500000,550.599976,553.599976,553.599976,25051621
